,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,source
34,Low Fat,DRH01,0.21888603657749783,-0.6856064470060185,Soft Drinks,-0.41918342447460677,0.5415302173265855,1997,OUT046,Tier 1,Small,Supermarket Type1,train
35,Low Fat,NCX29,-0.02019538333027726,-0.4242578802407425,Health and Hygiene,-0.4722158204831194,-0.3515927359333135,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
36,Regular,FDV20,-0.17845112700256016,-0.5764561868815667,Fruits and Vegetables,-0.6555768746175723,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
37,Regular,DRZ11,-0.2253869296226121,-0.7584412934815872,Soft Drinks,-0.32546973865993467,-0.48853825543316454,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
38,Regular,FDX10,-0.9516346460756949,-0.9456288891155767,Snack Foods,-0.2639730616925723,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
39,Low Fat,FDB34,-0.5218150887272579,-0.6710190757931245,Snack Foods,-0.8589586820240676,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
40,Low Fat,FDU02,0.6922457877472852,-0.47873100071406705,Dairy,-0.3908136923568325,0.04733551652277468,1997,OUT046,Tier 1,Small,Supermarket Type1,train
41,Low Fat,FDK43,-0.19598774864345425,-0.6756095072936855,Meat,-0.8568807317983629,-0.37540934802024406,1987,OUT013,Tier 3,High,Supermarket Type1,train
42,Low Fat,FDA46,0.37202629559453726,-0.6178720799755175,Snack Foods,-0.29656444220386147,0.07710628163143785,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
43,Low Fat,FDC02,0.9409113134893956,0.03192900132612464,Canned,-0.5965218304195066,1.0,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
44,Regular,FDL50,-0.19172116618788593,-0.9478731000714067,Canned,-0.7616919165836069,-0.09556415599880896,1987,OUT013,Tier 3,High,Supermarket Type1,train
45,Low Fat,FDM39,0.24627501714782452,-0.9502193206161378,Dairy,-0.47093639557749967,-0.7779100922893718,1998,OUT010,Tier 3,High,Grocery Store,train
46,Low Fat,NCP05,0.035765947476723126,-0.6329694991329184,Health and Hygiene,-0.6159177253355185,0.791604644239357,2002,OUT045,Tier 2,High,Supermarket Type1,train
47,Low Fat,FDV49,0.9858589871578078,-0.11414872998061809,Canned,-0.8626615571111359,-0.3515927359333135,2002,OUT045,Tier 2,High,Supermarket Type1,train
48,Regular,FDL12,-0.7510000067912176,-0.6103233703968172,Baking Goods,-0.27307809877122835,0.34504316760940745,1997,OUT046,Tier 1,Small,Supermarket Type1,train
49,Regular,FDS02,0.4056920590292634,-0.8855452412526776,Dairy,0.5505394080499362,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
50,Low Fat,NCL17,-0.0442108265590937,-0.5248393348974802,Health and Hygiene,-0.6046687073075931,-0.6623995236677582,1997,OUT046,Tier 1,Small,Supermarket Type1,train
51,Low Fat,FDM40,-0.0642941547990139,-0.8747322248291338,Frozen Foods,-0.03804594135915318,-0.328371539148556,1987,OUT013,Tier 3,High,Supermarket Type1,train
52,Regular,FDR13,-0.2719882647759917,-0.8808528001632152,Canned,-0.845314179940197,-0.364096457278952,1987,OUT013,Tier 3,High,Supermarket Type1,train
53,Low Fat,FDA43,0.40144754803088656,-0.5268795266755074,Fruits and Vegetables,-0.621528276371641,-0.2450133968442989,2007,OUT017,Tier 2,High,Supermarket Type1,train
54,Low Fat,NCP18,0.020217454787468947,-0.26736713251045585,Household,-0.8449257695697183,-0.09556415599880896,2007,OUT017,Tier 2,High,Supermarket Type1,train
55,Low Fat,FDK21,0.8484913310107371,-0.046210343772314366,Snack Foods,-0.9601103269925689,-0.6010717475439118,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
56,Low Fat,NCX54,-0.36440824725465026,-0.6807099867387534,Household,-0.7254900886270315,-0.4474545995832091,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
57,Low Fat,DRK35,-0.9426091178887464,-0.8829950015301438,Hard Drinks,-0.5789404070763086,-0.5462935397439713,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
58,Low Fat,FDY21,0.38558665933215175,-0.25277976129756197,Snack Foods,0.046170602609936884,0.25573087228341773,1997,OUT046,Tier 1,Small,Supermarket Type1,train
59,Low Fat,FDI26,0.26269448349394575,-0.8684076303172498,Canned,-0.6459076231561691,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
60,Low Fat,FDM20,0.8304402746368398,-0.5170866061409771,Fruits and Vegetables,-0.6159177253355185,-0.3515927359333135,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
61,Regular,FDV27,-0.5240935422311866,-0.8422931755585024,Meat,-0.7752795126475354,-0.5933313486156594,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
62,Low Fat,FDF09,-0.9406209889371067,-0.9308374987248801,Fruits and Vegetables,-0.9475680419313997,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
63,Regular,FDY40,-0.8320939361218073,-0.9824543507089666,Frozen Foods,-0.09665054011306395,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
64,Low Fat,FDY45,0.9061725376742795,-0.615423849841885,Snack Foods,-0.8618245177080889,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
65,Low Fat,FDC46,0.3084689879048417,-0.9768438233193919,Snack Foods,0.17908834918203764,0.565346829413516,1998,OUT010,Tier 3,Medium,Grocery Store,train
66,Low Fat,FDH19,0.19936128598496428,-0.2596144037539527,Meat,-0.818312556714758,0.7618338791306938,2004,OUT035,Tier 2,Small,Supermarket Type1,train
67,Regular,FDZ03,0.3135403296457022,-0.8337243700907885,Dairy,-0.535911414530523,0.0830604346531707,2002,OUT045,Tier 2,Small,Supermarket Type1,train
68,Low Fat,DRH37,0.13381584934362878,-0.6523513210241761,Soft Drinks,-0.765245377963695,0.5534385233700507,2002,OUT045,Tier 2,Small,Supermarket Type1,train
69,Low Fat,NCI17,-0.45202514108754555,-0.6944812812404365,Health and Hygiene,-0.1389104147344844,-0.5129502828222685,1997,OUT046,Tier 1,Small,Supermarket Type1,train
70,Regular,FDJ58,0.1790097046499468,-0.47873100071406705,Snack Foods,-0.37366819547975216,0.3152724025007443,1997,OUT046,Tier 1,Small,Supermarket Type1,train
71,Regular,FDL12,-0.7628846375866729,-0.9132918494338467,Baking Goods,-0.2737013434518748,0.34504316760940745,1987,OUT013,Tier 3,High,Supermarket Type1,train
72,Low Fat,FDH35,0.1329669471439534,-0.29960216260328454,Starchy Foods,-0.6159177253355185,0.6308425126525754,2002,OUT045,Tier 2,High,Supermarket Type1,train
73,Low Fat,FDG02,0.3440566659196327,-0.6550035703356114,Canned,-0.9522797027550192,-0.6070259005656444,2007,OUT017,Tier 2,High,Supermarket Type1,train
74,Low Fat,NCZ18,0.8937293292314381,-0.15005610527389568,Household,0.12545138982424664,-0.6105983923786841,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
75,Regular,FDC29,-0.29772358386135045,-0.6541874936244005,Frozen Foods,-0.8729684059833829,-0.5433164632331049,1997,OUT046,Tier 1,Small,Supermarket Type1,train
76,Low Fat,FDQ10,0.19739522849051605,-0.820157094766908,Snack Foods,-0.8173975717040018,-0.012206013694551876,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
77,Low Fat,FDN48,-0.5017759034017208,-0.9065592165663572,Baking Goods,-0.32179719456769795,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
78,Low Fat,FDL04,-0.37459507365075484,-0.7618076099153319,Frozen Foods,-0.32896332003094075,0.7201548079785649,2007,OUT017,Tier 2,Small,Supermarket Type1,train
79,Low Fat,FDV25,0.6235729954023459,-0.19228807507905732,Canned,-0.6159177253355185,-0.8392378684132181,2002,OUT045,Tier 2,Small,Supermarket Type1,train
80,Low Fat,FDD58,-0.40084482746911687,-0.7449760277466081,Snack Foods,-0.6565594055100384,-0.6183387913069366,1997,OUT046,Tier 1,Small,Supermarket Type1,train
81,Regular,FDN04,0.26524119009297165,-0.7863919208405589,Frozen Foods,-0.9352719637641282,-0.13724322715093762,1997,OUT046,Tier 1,Small,Supermarket Type1,train
82,Low Fat,FDV45,0.329937724534632,-0.2859328776905028,Snack Foods,-0.7435088546216515,0.4522179220005955,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
83,Low Fat,NCL18,0.3864576329890186,-0.9157400795674793,Household,0.7846586246839558,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
84,Regular,FDR12,0.18919653104605128,-0.5313679485871672,Baking Goods,-0.828781066218208,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
85,Regular,FDG20,0.2369591644085869,-0.6252167703764153,Fruits and Vegetables,-0.24373142045695073,0.303364096457279,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
86,Low Fat,FDZ55,0.10104313102296136,-0.5889013567275323,Fruits and Vegetables,-0.8655904684571663,-0.8213754093480202,2004,OUT035,Tier 2,Small,Supermarket Type1,train
87,Regular,FDQ49,0.0583518394012863,-0.5016831582168723,Breakfast,-0.7815196807425737,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
88,Regular,FDN33,-0.4537008740297047,-0.9037029480771192,Snack Foods,-0.26394651745409903,-0.791604644239357,1997,OUT046,Tier 1,Small,Supermarket Type1,train
89,Low Fat,FDN27,-0.27002220728154347,-0.7717025400387636,Meat,-0.7780326076666423,0.9404584697826737,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
90,Low Fat,FDW20,-0.22849221386902463,-0.9484851576048148,Fruits and Vegetables,-0.7731240662990229,0.928550163739208,1998,OUT010,Tier 3,Medium,Grocery Store,train
91,Low Fat,DRG27,-0.9267923721043947,-0.8993165357543608,Dairy,-0.37380341654704785,-0.4831795177136051,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
92,Low Fat,DRI25,-0.7973551603066914,-0.7934305824747525,Soft Drinks,-0.8128449731194175,0.791604644239357,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
93,Low Fat,FDA44,-0.7741665478203588,-0.9097215138222992,Fruits and Vegetables,-0.694362865158378,0.8035129502828222,2004,OUT035,Tier 2,Small,Supermarket Type1,train
94,Low Fat,NCR17,-0.2932108197678762,-0.8098541262878709,Health and Hygiene,-0.871902911261367,-0.37540934802024406,2004,OUT035,Tier 2,Small,Supermarket Type1,train
95,Low Fat,FDU04,-0.24658741315730492,-0.9304294603692747,Frozen Foods,-0.9621946438948175,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
96,Low Fat,FDF41,0.8230684079348585,-0.8163827399775578,Frozen Foods,-0.2130377467260337,-0.09556415599880896,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
97,Regular,FDB56,0.3256932135362549,-0.4297663980414158,Fruits and Vegetables,-0.5625933616313838,-0.5004465614766298,2004,OUT035,Tier 2,Small,Supermarket Type1,train
98,Low Fat,NCP18,0.007483921792338144,-0.33652963378557577,Household,-0.8467745194398372,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
99,Regular,FDB56,0.3290888223349566,-0.8037335509537895,Fruits and Vegetables,-0.5625064755842728,-0.5004465614766298,1997,OUT046,Tier 1,Small,Supermarket Type1,train
100,Low Fat,FDT28,0.016821845988767237,-0.7284504743445883,Frozen Foods,-0.6298190992599663,0.041381363501042046,2002,OUT045,Tier 2,Small,Supermarket Type1,train
101,Regular,FDD10,0.24996095049881495,-0.56768336223605,Snack Foods,-0.740018358071679,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
102,Regular,FDW57,0.2547861106017699,-0.40814036519432817,Snack Foods,-0.30863973092479213,-0.5528431080678772,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
103,Regular,DRB48,-0.9363985493959213,-0.9027848617770069,Soft Drinks,-0.869106868883561,0.4522179220005955,1987,OUT013,Tier 3,High,Supermarket Type1,train
104,Low Fat,FDP09,0.5348168748174862,-0.5169845965520758,Snack Foods,-0.8124896091251592,0.8094671033045548,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
105,Regular,FDH14,-0.0671091144931375,-0.6607161073140875,Canned,-0.7340348458551567,0.4938969931527244,1987,OUT013,Tier 3,High,Supermarket Type1,train
106,Regular,FDA47,0.11911625885404997,-0.7301846373559113,Baking Goods,-0.3042096631557074,-0.29205120571598675,1987,OUT013,Tier 3,High,Supermarket Type1,train
107,Regular,FDG12,-0.23581993765662257,-0.6173620320310108,Baking Goods,-0.6159177253355185,-0.7523072342959214,2002,OUT045,Tier 2,High,Supermarket Type1,train
108,Low Fat,DRE60,0.6475663671739709,-0.9010506987656839,Soft Drinks,0.6957241332599584,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
109,Low Fat,DRK49,-0.9140588391092639,-0.8806487809854125,Soft Drinks,-0.8008775299881087,0.14260196487049726,1987,OUT013,Tier 3,High,Supermarket Type1,train
110,Low Fat,FDD03,0.7083307866267343,-0.8979904110986432,Dairy,-0.5306172766910523,0.041381363501042046,1997,OUT046,Tier 1,Small,Supermarket Type1,train
111,Low Fat,FDS52,-0.39633206337564264,-0.5864531265938997,Frozen Foods,-0.9881115369074054,-0.48377493301577834,2007,OUT017,Tier 2,Small,Supermarket Type1,train
112,Regular,FDW39,0.23640058676120046,-0.9780679383862082,Meat,-0.6240911961762997,-0.01901110703840536,1985,OUT019,Tier 1,Small,Grocery Store,train
113,Low Fat,FDX34,-0.23242432885792086,-0.37733346934611844,Snack Foods,-0.5809185100806995,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
114,Regular,FDV11,0.204722952278114,-0.522187085586045,Breads,-0.6159177253355185,-0.45876749032450137,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
115,Low Fat,FDD17,0.7640238643386374,-0.0946648985004589,Frozen Foods,-0.8208034234740411,-0.6493003870199463,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
116,Regular,FDZ16,0.36807210914844934,-0.2629807201876976,Frozen Foods,-0.032158298730436075,0.4641262280440608,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
117,Low Fat,FDZ46,-0.34012455093073635,-0.6156278690196878,Snack Foods,-0.5964736862764717,-0.6510866329264661,2004,OUT035,Tier 2,Small,Supermarket Type1,train
118,Low Fat,DRA12,-0.07448098119511837,-0.613995715597266,Soft Drinks,-0.7684672056893705,-0.16105983923786837,2007,OUT017,Tier 2,Small,Supermarket Type1,train
119,Low Fat,FDY58,0.6619756331112607,-0.830154034479241,Snack Foods,-0.7752175576191154,-0.15510568621613574,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
120,Low Fat,NCF19,-0.862364090757832,-0.9008466795878811,Household,-0.804611844388943,0.005656445370646024,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
121,Low Fat,DRJ13,0.0846236646768399,-0.6855044374171171,Soft Drinks,-0.6339890692045118,-0.03602262578148241,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
122,Regular,FDB14,-0.48028509531473895,-0.9765377945526879,Canned,0.03667278345834002,0.8690086335218816,1998,OUT010,Tier 3,Medium,Grocery Store,train
123,Regular,FDJ38,0.3485915014702985,-0.5399367540548812,Canned,-0.7744987573743617,-0.5183090205418279,2004,OUT035,Tier 2,Small,Supermarket Type1,train
124,Low Fat,FDW11,-0.7331951320552262,-0.8722839946955013,Breads,-0.7199443316028677,-0.041976778803215264,2007,OUT017,Tier 2,Small,Supermarket Type1,train
125,Low Fat,FDL40,-0.45881635868494863,-0.8719779659287972,Frozen Foods,-0.9505181036970903,0.565346829413516,2004,OUT035,Tier 2,Small,Supermarket Type1,train
126,Low Fat,DRI49,-0.565891788738803,-0.8308681016015504,Soft Drinks,0.10790391182707126,0.14260196487049726,1997,OUT046,Tier 1,Small,Supermarket Type1,train
127,Low Fat,FDV38,-0.8174384885466115,-0.8628991125165765,Dairy,-0.3918110870376713,0.7499255730872285,2007,OUT017,Tier 2,Small,Supermarket Type1,train
128,Low Fat,DRG23,0.0227420899293036,-0.8882995001530143,Hard Drinks,-0.4881149634601103,-0.4849657636201248,1987,OUT013,Tier 3,High,Supermarket Type1,train
129,Low Fat,NCP30,-0.9236650164007905,-0.8967662960318269,Household,-0.819833835283795,0.8987793986305448,2002,OUT045,Tier 2,High,Supermarket Type1,train
130,Low Fat,FDY25,0.26747550068251735,0.21575028052636958,Canned,-0.8138318818716737,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
131,Low Fat,NCH54,0.09510081562523354,-0.7847597674181372,Household,-0.574563021400561,0.06519797558797258,1997,OUT046,Tier 1,Small,Supermarket Type1,train
132,Low Fat,NCR53,0.639657994281795,0.06375599306334823,Health and Hygiene,-0.13327122642417055,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
133,Low Fat,FDS52,-0.40227437877337024,-0.9895950219320615,Frozen Foods,-0.9655896649259389,-0.48377493301577834,1998,OUT010,Tier 3,Medium,Grocery Store,train
134,Low Fat,FDG02,0.3347187417232036,-0.8592267673161276,Canned,-0.9523894509588113,-0.6070259005656444,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
135,Low Fat,NCO26,-0.2804772867727455,-0.7033561154748545,Household,-0.5487853209314497,-0.6808573980351293,1997,OUT046,Tier 1,Small,Supermarket Type1,train
136,Low Fat,FDH35,0.138909262541681,-0.19881668876874425,Starchy Foods,-0.6528364698502616,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
137,Low Fat,FDB51,-0.7513124028006981,-0.8037335509537895,Dairy,-0.7847560643902515,-0.7183685620720451,2002,OUT045,Tier 2,Medium,Supermarket Type1,train
138,Low Fat,FDX44,-0.49467228979483735,-0.923084769968377,Fruits and Vegetables,-0.7559550484312285,-0.4349508782375706,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
139,Low Fat,NCN07,-0.14398060428254178,-0.9647046822401305,Others,-0.6721730085856235,0.6606132777612386,1998,OUT010,Tier 3,Medium,Grocery Store,train
140,Low Fat,NCC31,0.04675753315811981,-0.7902682852188105,Household,-0.8996847787018045,-0.5873771955939268,2004,OUT035,Tier 2,Small,Supermarket Type1,train
141,Low Fat,NCX54,-0.3728972692514041,-0.7455880852800163,Household,-0.7244163800302479,-0.4474545995832091,2007,OUT017,Tier 2,Small,Supermarket Type1,train
142,Low Fat,NCO55,-0.3692334073576051,-0.676629603182699,Others,-0.46032775761680644,-0.01816016671628451,2002,OUT045,Tier 2,Small,Supermarket Type1,train
143,Low Fat,NCC30,0.2423208307017366,-0.5950219320616137,Household,-0.8519324202529892,0.4343554629353976,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
144,Regular,FDI16,-0.8151600350426829,-0.8663674385392226,Frozen Foods,-0.6159177253355185,0.12473950580529936,2004,OUT035,Tier 2,Small,Supermarket Type1,train
145,Low Fat,FDP16,0.8259054390861738,0.12414566969295127,Frozen Foods,-0.7796831346953854,0.6725215838047038,1999,OUT049,Tier 1,Medium,Supermarket Type1,train
146,Low Fat,FDB11,0.660031647074004,-0.03968173008262765,Starchy Foods,-0.6474201891069182,0.3629056266746056,2004,OUT035,Tier 2,Small,Supermarket Type1,train
147,Low Fat,NCB06,0.09849642442393503,-0.7602774660818116,Health and Hygiene,-0.515160907128261,0.5534385233700507,2004,OUT035,Tier 2,Small,Supermarket Type1,train
148,Low Fat,FDA45,0.2474363153569803,-0.9240028562684891,Snack Foods,-0.06546793148433927,0.9880916939565347,2004,OUT035,Tier 2,Small,Supermarket Type1,train
149,Low Fat,NCO26,-0.26774375377761483,-0.7033561154748545,Household,-0.5488748053707289,-0.6808573980351293,2004,OUT035,Tier 2,Small,Supermarket Type1,train
150,Low Fat,DRJ25,-0.838036251519535,-0.8465775782923594,Soft Drinks,-0.08967308747638081,0.19618934206609118,2007,OUT017,Tier 2,Small,Supermarket Type1,train
151,Regular,FDR28,0.10553382365924402,-0.7301846373559113,Frozen Foods,-0.86190790639323,0.10687704674010123,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
152,Regular,FDI04,0.41217088061718576,-0.5809446087932264,Frozen Foods,-0.5712360511519976,0.0830604346531707,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
153,Low Fat,DRK12,-1.0,-0.8673875344282361,Soft Drinks,-0.7653517457947379,-0.01901110703840536,1985,OUT027,Tier 3,Medium,Supermarket Type3,train
154,Low Fat,FDX20,0.6543575847713736,-0.5195348362746097,Fruits and Vegetables,-0.7599531796823589,-0.6653766001786244,1997,OUT046,Tier 1,Small,Supermarket Type1,train
155,Low Fat,NCI18,0.6323081990370054,-0.45506477608895224,Household,-0.9353082981531866,0.6427508186960407,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
156,Regular,FDB36,-0.14029467093155135,-0.9649087014179332,Baking Goods,-0.6159177253355185,-0.8916344150044655,2009,OUT018,Tier 3,Medium,Supermarket Type2,train
157,Low Fat,FDN13,-0.4181131960149135,-0.7124349688870752,Breakfast,-0.08044202837758285,0.6725215838047038,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
158,Low Fat,DRD24,-0.06938756799706614,-0.7443639702131999,Soft Drinks,-0.8313226262540745,0.10687704674010123,2007,OUT017,Tier 2,Medium,Supermarket Type1,train
159,Regular,FDQ28,0.04648928006302255,-0.6264408854432315,Frozen Foods,-0.6502510080699473,0.12473950580529936,1987,OUT013,Tier 3,High,Supermarket Type1,train
